draw_no,draw_date,n1,n2,n3,n4,n5,n6,n7,bonus1,bonus2
377,2020/07/17,6,7,10,17,25,33,36,27,32
378,2020/07/24,1,5,9,10,14,15,29,20,28
379,2020/07/31,3,8,15,22,24,29,35,18,26
380,2020/08/07,8,14,24,25,32,34,36,13,16
381,2020/08/14,4,8,25,26,27,31,32,9,22
382,2020/08/21,2,3,5,8,19,22,37,16,28
383,2020/08/28,8,11,15,22,26,28,30,10,20
384,2020/09/04,3,7,15,18,26,30,31,9,33
385,2020/09/11,4,12,14,24,29,34,35,5,15
386,2020/09/18,9,19,22,32,35,36,37,7,21
387,2020/09/25,3,7,13,22,30,32,37,14,15
388,2020/10/02,1,6,8,10,18,21,32,13,28
389,2020/10/09,1,6,11,13,18,24,27,17,23
390,2020/10/16,3,6,19,21,23,26,27,30,34
391,2020/10/23,10,23,27,32,33,35,37,24,26
392,2020/10/30,1,4,6,15,20,22,26,18,21
393,2020/11/06,7,14,15,22,27,30,31,9,32
394,2020/11/13,6,10,22,23,27,32,33,8,19
395,2020/11/20,1,2,5,20,26,29,32,8,9
396,2020/11/27,2,3,5,8,16,20,34,26,31
397,2020/12/04,4,12,13,15,21,28,37,7,20
398,2020/12/11,3,4,10,17,20,22,33,1,6
399,2020/12/18,7,15,19,20,21,33,36,4,10
400,2020/12/25,4,17,22,28,30,31,35,25,34
401,2021/01/08,4,5,9,14,18,30,35,1,33
402,2021/01/15,7,9,12,17,20,26,29,4,13
403,2021/01/22,2,6,8,12,19,20,29,5,26
404,2021/01/29,4,8,13,16,25,30,32,9,26
405,2021/02/05,3,10,16,17,24,32,36,11,29
406,2021/02/12,1,2,5,16,18,21,29,24,25
407,2021/02/19,19,21,25,26,28,30,31,9,16
408,2021/02/26,16,18,19,21,29,30,35,14,28
409,2021/03/05,13,15,16,24,30,31,37,12,33
410,2021/03/12,1,2,18,21,26,29,37,9,36
411,2021/03/19,4,11,12,21,23,27,36,9,14
412,2021/03/26,14,20,22,29,31,33,34,15,24
413,2021/04/02,3,10,16,18,19,34,35,27,36
414,2021/04/09,3,8,16,21,25,36,37,14,20
415,2021/04/16,4,8,12,13,23,32,37,16,35
416,2021/04/23,8,9,10,15,16,30,31,29,36
417,2021/04/30,4,5,13,18,23,27,32,9,11
418,2021/05/07,10,13,17,18,22,28,37,1,20
419,2021/05/14,3,11,14,21,26,29,34,22,33
420,2021/05/21,4,5,11,13,24,32,34,2,3
421,2021/05/28,9,15,18,26,28,32,37,21,36
422,2021/06/04,1,9,21,23,30,35,36,5,6
423,2021/06/11,1,7,9,11,29,31,32,2,6
424,2021/06/18,5,6,12,19,25,30,35,26,33
425,2021/06/25,2,9,14,20,22,34,35,7,24
426,2021/07/02,1,2,6,8,30,31,33,13,35
427,2021/07/09,11,13,26,27,31,33,37,9,18
428,2021/07/16,3,6,16,22,31,34,35,24,32
429,2021/07/23,6,11,14,27,30,32,35,18,24
430,2021/07/30,2,12,17,24,28,30,32,3,27
431,2021/08/06,7,11,12,17,19,20,26,2,3
432,2021/08/13,5,10,13,24,29,30,35,21,31
433,2021/08/20,14,17,20,25,32,33,36,10,34
434,2021/08/27,10,11,12,17,29,34,37,26,30
435,2021/09/03,3,5,7,11,15,17,25,13,32
436,2021/09/10,5,6,21,22,26,31,32,18,36
437,2021/09/17,8,10,14,15,23,25,26,1,11
438,2021/09/24,4,13,16,21,32,34,37,27,33
439,2021/10/01,1,3,6,9,26,29,31,14,18
440,2021/10/08,5,10,17,18,19,22,32,14,35
441,2021/10/15,15,21,22,23,27,28,37,8,25
442,2021/10/22,6,13,14,16,19,30,32,25,36
443,2021/10/29,1,5,8,26,28,32,36,23,24
444,2021/11/05,11,15,16,17,18,27,29,25,33
445,2021/11/12,4,22,25,27,28,30,33,2,3
446,2021/11/19,1,7,9,12,15,29,32,11,28
447,2021/11/26,3,5,8,13,26,30,37,25,28
448,2021/12/03,7,21,24,29,32,36,37,22,27
449,2021/12/10,2,21,26,27,32,33,34,8,9
450,2021/12/17,2,7,12,15,21,23,30,9,31
451,2021/12/24,2,15,22,25,28,33,37,10,17
452,2022/01/07,5,17,20,21,31,34,35,8,27
453,2022/01/14,2,8,10,21,24,26,35,9,13
454,2022/01/21,8,17,21,26,27,29,31,1,33
455,2022/01/28,1,5,8,15,18,26,36,33,34
456,2022/02/04,9,15,17,18,22,25,31,33,36
457,2022/02/11,7,14,19,27,31,35,36,9,33
